House 2nd Dist (DEM),Precinct,Charles H. Butcher III,Scott Silver,Dan Davis,Carol Voisin,Write-ins,Over Votes,Under Votes,Trnout,,,,
,5,3,237,240,,,,,,,,,
,6,5,103,108,,,,,,,,,
,7,0,16,16,,,,,,,,,
,8,2,117,119,,,,,,,,,
,9,2,40,42,,,,,,,,,
,10,1,79,80,,,,,,,,,
,11,1,212,213,,,,,,,,,
,12,0,13,13,,,,,,,,,
,13,4,122,126,,,,,,,,,
,14,2,65,67,,,,,,,,,
,15,3,181,184,,,,,,,,,
,16,5,88,93,,,,,,,,,
,17,15,374,389,,,,,,,,,
,TOTAL,51,1919,1970,,,,,,,,,
House 2nd Dist (REP),Precinct,Greg Walden,Paul A. Daghlian,Write-ins,Over Votes,Under Votes,Trnout,,,,,,
,1,69,11,0,0,13,93,,,,,,
,2,62,12,0,0,3,77,,,,,,
,3,23,7,1,0,1,32,,,,,,
,4,200,20,1,0,19,240,,,,,,
,5,322,36,1,1,27,387,,,,,,
,6,132,19,0,0,11,162,,,,,,
,7,59,4,0,0,5,68,,,,,,
,8,110,11,0,0,6,127,,,,,,
,9,45,3,0,0,3,51,,,,,,
,10,78,10,0,0,4,92,,,,,,
,11,435,36,3,0,41,515,,,,,,
,12,17,7,0,0,0,24,,,,,,
,13,129,15,0,0,19,163,,,,,,
,14,34,10,0,0,3,47,,,,,,
,15,170,12,1,0,14,197,,,,,,
,16,124,17,0,0,5,146,,,,,,
,17,363,42,5,0,48,458,,,,,,
,TOTAL,2372,272,12,1,222,2879,,,,,,
Governor (REP),Precinct,Kevin Mannix,W. Ames Curtright,David W. Beem,Bob Leonard Forthan,Jason A. Atkinson,Ron Saxton,William E. Spidal,Gordon Leitch,Write-ins,Over Votes,Under Votes,Trnout
,1,31,4,0,0,15,30,0,1,2,0,10,93
,2,26,4,1,0,14,24,1,0,4,2,1,77
,3,12,1,0,0,0,13,1,0,1,1,3,32
,4,76,11,0,0,68,64,0,3,2,0,16,240
,5,136,3,3,0,62,158,2,0,2,0,21,387
,6,43,3,0,1,29,71,0,2,2,0,11,162
,7,20,1,0,0,5,36,0,0,1,0,5,68
,8,52,6,3,1,17,34,0,4,0,1,9,127
,9,11,6,2,0,9,21,1,0,0,0,1,51
,10,25,3,2,2,10,40,1,1,2,1,5,92
,11,154,10,1,0,108,184,4,2,11,2,39,515
,12,2,0,0,0,12,10,0,0,0,0,0,24
,13,46,7,0,0,24,67,0,1,1,0,17,163
,14,11,1,0,0,13,18,0,1,0,1,2,47
,15,64,6,1,1,36,75,1,0,2,1,10,197
,16,50,6,1,0,25,60,0,0,1,1,2,146
,17,137,12,3,2,68,180,4,3,2,1,46,458
,TOTAL,896,84,17,7,515,1085,15,18,33,11,198,2879
State House 55th Dist (REP),Precinct,George Gilman,Write-ins,Over Votes,Under Votes,Trnout,,,,,,,
,1,67,0,0,26,93,,,,,,,
,2,56,1,0,20,77,,,,,,,
,3,22,0,0,10,32,,,,,,,
,4,157,1,0,82,240,,,,,,,
,5,251,4,0,132,387,,,,,,,
,6,113,0,0,49,162,,,,,,,
,7,36,0,0,32,68,,,,,,,
,8,95,0,0,32,127,,,,,,,
,9,35,0,0,16,51,,,,,,,
,10,72,0,0,20,92,,,,,,,
,11,308,3,0,204,515,,,,,,,
,12,12,1,0,11,24,,,,,,,
,13,99,0,0,64,163,,,,,,,
,14,28,0,0,19,47,,,,,,,
,15,141,1,0,55,197,,,,,,,
,16,100,0,0,46,146,,,,,,,
,17,286,3,0,169,458,,,,,,,
,TOTAL,1878,14,0,987,2879,,,,,,,
