SENATOR,Precinct,Trnout,Lon Mabon (CON),Bill Bradbury (DEM),Gordon H. Smith (REP),Dan Fitzgerald (LIB),Write-ins,Over Votes,Under Votes
,116,97,65,4,0,13,,,
,124,582,483,8,0,77,,,
,125,377,156,6,0,45,,,
,126,605,469,11,0,125,,,
,127,363,297,5,0,61,,,
,128,903,718,14,0,171,,,
,129,434,335,8,0,91,,,
,130,849,702,6,0,141,,,
,136,691,528,24,0,139,,,
,137,612,475,21,0,116,,,
,138,803,645,21,0,137,,,
,139,887,688,50,0,149,,,
,140,152,124,5,0,23,,,
,141,626,481,18,0,127,,,
,142,563,457,11,0,95,,,
,143,774,597,19,0,158,,,
,TOTAL,,12264,355,0,2837,,,
